Primary_Key_2021_2022,School_Name,Grade_Test_Type,Mastery_Level,Baseline_Year,Compared_Year,YOY_State_2022,YOY_Region_2022,YOY_District_2022,YOY_African_American_2022,YoY_Hispanic_2022,YoY_White_2022,YoY_Econ_Disadv_2022,YoY_ELL_2022
Goose_Creek_ISD_Grade 3 Reading_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 3 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.16,0.12,0.18,0.12,0.17,0.18
Goose_Creek_ISD_Grade 4 Mathematics_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.07,0.08,0.08,0.01,0.08,0.12
Goose_Creek_ISD_Grade 4 Mathematics_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 4 Mathematics,At Masters Grade Level,2021,2022,0.02,0.02,0.001,0.04,-0.01,0.01,0.01,0.04
Goose_Creek_ISD_Grade 4 Mathematics_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 4 Mathematics,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.06,0.09,0.04,0.07,0.05,0.09
Goose_Creek_ISD_Grade 4 Reading_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 4 Reading,At Approaches Grade Level or Above,2021,2022,0.14,0.14,0.13,0.14,0.12,0.13,0.14,0.17
Goose_Creek_ISD_Grade 4 Reading_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 4 Reading,At Masters Grade Level,2021,2022,0.11,0.12,0.11,0.1,0.1,0.09,0.11,0.11
Goose_Creek_ISD_Grade 4 Reading_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 4 Reading,At Meets Grade Level or Above,2021,2022,0.18,0.18,0.17,0.16,0.18,0.15,0.18,0.21
Goose_Creek_ISD_Grade 5 Mathematics_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,2022,0.07,0.06,0.01,-0.01,0.02,0.04,0.01,0.03
Goose_Creek_ISD_Grade 5 Mathematics_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 5 Mathematics,At Masters Grade Level,2021,2022,0.001,0.001,-0.04,-0.06,-0.02,-0.03,-0.02,0.02
Goose_Creek_ISD_Grade 5 Mathematics_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.04,-0.02,-0.04,0.01,-0.05,-0.01,0.05
Goose_Creek_ISD_Grade 5 Reading_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.08,0.06,-0.04,0.09,0.02,0.07,0.07
Goose_Creek_ISD_Grade 5 Reading_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 5 Reading,At Masters Grade Level,2021,2022,0.06,0.07,0.06,0.07,0.09,-0.03,0.08,0.09
Goose_Creek_ISD_Grade 5 Reading_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.11,0.12,0.15,0.14,0.06,0.13,0.12
Goose_Creek_ISD_Grade 5 Science_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Science,At Approaches Grade Level or Above,2021,2022,0.04,0.04,-0.02,-0.06,-0.01,-0.01,-0.03,-0.01
Goose_Creek_ISD_Grade 5 Science_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 5 Science,At Masters Grade Level,2021,2022,0.05,0.05,0.01,-0.01,0.03,-0.01,0.02,0.03
Goose_Creek_ISD_Grade 5 Science_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 5 Science,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.01,-0.03,0.03,-0.04,0.01,0.02
Goose_Creek_ISD_Grade 6 Mathematics_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,2022,0.05,0.05,0.06,0.04,0.05,0.07,0.07,0.08
Goose_Creek_ISD_Grade 6 Mathematics_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 6 Mathematics,At Masters Grade Level,2021,2022,0.01,0.01,-0.01,0.001,-0.02,0.001,0.01,-0.01
Goose_Creek_ISD_Grade 6 Mathematics_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 6 Mathematics,At Meets Grade Level or Above,2021,2022,0.03,0.03,0.01,0.01,0.001,0.02,0.03,0.02
Goose_Creek_ISD_Grade 6 Reading_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 6 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.06,0.1,0.05,0.1,0.13,0.11,0.15
Goose_Creek_ISD_Grade 6 Reading_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 6 Reading,At Masters Grade Level,2021,2022,0.08,0.08,0.06,0.05,0.04,0.12,0.05,0.03
Goose_Creek_ISD_Grade 6 Reading_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 6 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.1,0.1,0.08,0.06,0.2,0.11,0.07
Goose_Creek_ISD_Grade 7 Mathematics_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,2022,0.06,0.06,0.04,0.01,0.06,0.02,0.04,0.03
Goose_Creek_ISD_Grade 7 Mathematics_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 7 Mathematics,At Masters Grade Level,2021,2022,0.01,0.02,0.03,-0.01,0.03,0.02,0.03,0.01
Goose_Creek_ISD_Grade 7 Mathematics_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 7 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.05,0.04,0.02,0.06,0.01,0.07,0.03
Goose_Creek_ISD_Grade 7 Reading_At Approaches Grade Level or Above_2022,Goose_Creek_ISD,Grade 7 Reading,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.13,0.17,0.14,0.12,0.14,0.1
Goose_Creek_ISD_Grade 7 Reading_At Masters Grade Level_2022,Goose_Creek_ISD,Grade 7 Reading,At Masters Grade Level,2021,2022,0.12,0.12,0.11,0.09,0.12,0.16,0.12,0.05
Goose_Creek_ISD_Grade 7 Reading_At Meets Grade Level or Above_2022,Goose_Creek_ISD,Grade 7 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.11,0.11,0.14,0.12,0.12,0.14,0.05
Harmony_Schools_Grade 3 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,2022,0.09,0.09,0.22,0.24,0.26,0.26,0.27,0.25
Harmony_Schools_Grade 3 Mathematics_At Masters Grade Level_2022,Harmony_Schools,Grade 3 Mathematics,At Masters Grade Level,2021,2022,0.07,0.07,0.14,0.13,0.13,0.2,0.11,0.08
Harmony_Schools_Grade 3 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 3 Mathematics,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.23,0.23,0.26,0.23,0.2,0.19
Harmony_Schools_Grade 3 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 3 Reading,At Approaches Grade Level or Above,2021,2022,0.09,0.08,0.13,0.1,0.19,0.14,0.18,0.15
Harmony_Schools_Grade 3 Reading_At Masters Grade Level_2022,Harmony_Schools,Grade 3 Reading,At Masters Grade Level,2021,2022,0.11,0.11,0.14,0.12,0.15,0.17,0.14,0.12
Harmony_Schools_Grade 3 Reading_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 3 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.21,0.18,0.24,0.22,0.24,0.18
Harmony_Schools_Grade 4 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.11,0.13,0.11,0.09,0.13,0.14
Harmony_Schools_Grade 4 Mathematics_At Masters Grade Level_2022,Harmony_Schools,Grade 4 Mathematics,At Masters Grade Level,2021,2022,0.02,0.02,0.05,0.05,0.03,0.05,0.05,0.07
Harmony_Schools_Grade 4 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 4 Mathematics,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.1,0.01,0.11,0.12,0.09,0.12
Harmony_Schools_Grade 4 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 4 Reading,At Approaches Grade Level or Above,2021,2022,0.14,0.14,0.2,0.22,0.27,0.04,0.24,0.2
Harmony_Schools_Grade 4 Reading_At Masters Grade Level_2022,Harmony_Schools,Grade 4 Reading,At Masters Grade Level,2021,2022,0.11,0.12,0.19,0.15,0.12,0.32,0.15,0.22
Harmony_Schools_Grade 4 Reading_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 4 Reading,At Meets Grade Level or Above,2021,2022,0.18,0.18,0.24,0.15,0.25,0.3,0.24,0.3
Harmony_Schools_Grade 5 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,2022,0.07,0.06,0.09,0.09,0.06,0.18,0.09,0.12
Harmony_Schools_Grade 5 Mathematics_At Masters Grade Level_2022,Harmony_Schools,Grade 5 Mathematics,At Masters Grade Level,2021,2022,0.001,0.001,0.07,0.08,0.01,0.18,0.07,0.12
Harmony_Schools_Grade 5 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 5 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.04,0.08,0.09,0.03,0.12,0.06,0.13
Harmony_Schools_Grade 5 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 5 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.08,0.09,0.08,0.09,0.21,0.11,0.12
Harmony_Schools_Grade 5 Reading_At Masters Grade Level_2022,Harmony_Schools,Grade 5 Reading,At Masters Grade Level,2021,2022,0.06,0.07,0.07,0.12,0.02,0.18,0.08,0.13
Harmony_Schools_Grade 5 Reading_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 5 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.11,0.11,0.13,0.08,0.24,0.11,0.21
Harmony_Schools_Grade 5 Science_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 5 Science,At Approaches Grade Level or Above,2021,2022,0.04,0.04,0.06,0.15,0.01,0.16,0.05,0.07
Harmony_Schools_Grade 5 Science_At Masters Grade Level_2022,Harmony_Schools,Grade 5 Science,At Masters Grade Level,2021,2022,0.05,0.05,0.04,0.09,0.03,0.08,0.04,0.05
Harmony_Schools_Grade 5 Science_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 5 Science,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.05,0.11,0.05,0.15,0.06,0.08
Harmony_Schools_Grade 6 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,2022,0.05,0.05,0.13,0.17,0.16,0.001,0.14,0.13
Harmony_Schools_Grade 6 Mathematics_At Masters Grade Level_2022,Harmony_Schools,Grade 6 Mathematics,At Masters Grade Level,2021,2022,0.01,0.01,0.11,0.02,0.13,0.09,0.11,0.07
Harmony_Schools_Grade 6 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 6 Mathematics,At Meets Grade Level or Above,2021,2022,0.03,0.03,0.17,0.02,0.23,0.22,0.19,0.17
Harmony_Schools_Grade 6 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 6 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.06,0.04,-0.04,0.06,0.001,0.06,0.05
Harmony_Schools_Grade 6 Reading_At Masters Grade Level_2022,Harmony_Schools,Grade 6 Reading,At Masters Grade Level,2021,2022,0.08,0.08,0.09,0.09,0.07,0.07,0.09,0.05
Harmony_Schools_Grade 6 Reading_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 6 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.1,0.1,-0.01,0.13,0.05,0.09,0.06
Harmony_Schools_Grade 7 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,2022,0.06,0.06,0.24,0.27,0.26,0.17,0.22,0.28
Harmony_Schools_Grade 7 Mathematics_At Masters Grade Level_2022,Harmony_Schools,Grade 7 Mathematics,At Masters Grade Level,2021,2022,0.01,0.02,0.16,0.16,0.14,0.32,0.12,0.11
Harmony_Schools_Grade 7 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 7 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.05,0.23,0.28,0.21,0.33,0.22,0.21
Harmony_Schools_Grade 7 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools,Grade 7 Reading,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.19,0.24,0.2,0.18,0.21,0.18
Harmony_Schools_Grade 7 Reading_At Masters Grade Level_2022,Harmony_Schools,Grade 7 Reading,At Masters Grade Level,2021,2022,0.12,0.12,0.28,0.34,0.29,0.16,0.25,0.22
Harmony_Schools_Grade 7 Reading_At Meets Grade Level or Above_2022,Harmony_Schools,Grade 7 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.11,0.25,0.26,0.27,0.22,0.23,0.25
Harmony_Schools_South_Grade 3 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,2022,0.09,0.09,0.24,0.14,0.33,0.34,0.23,0.24
Harmony_Schools_South_Grade 3 Mathematics_At Masters Grade Level_2022,Harmony_Schools_South,Grade 3 Mathematics,At Masters Grade Level,2021,2022,0.07,0.07,0.11,0.11,0.12,0.05,0.12,0.08
Harmony_Schools_South_Grade 3 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 3 Mathematics,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.23,0.21,0.26,0.09,0.24,0.2
Harmony_Schools_South_Grade 3 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 3 Reading,At Approaches Grade Level or Above,2021,2022,0.09,0.08,0.22,0.23,0.22,0.08,0.22,0.21
Harmony_Schools_South_Grade 3 Reading_At Masters Grade Level_2022,Harmony_Schools_South,Grade 3 Reading,At Masters Grade Level,2021,2022,0.11,0.11,0.13,0.17,0.1,0.02,0.12,0.04
Harmony_Schools_South_Grade 3 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 3 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.28,0.24,0.31,0.37,0.26,0.21
Harmony_Schools_South_Grade 4 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.06,0.04,0.1,0.13,0.09,0.1
Harmony_Schools_South_Grade 4 Mathematics_At Masters Grade Level_2022,Harmony_Schools_South,Grade 4 Mathematics,At Masters Grade Level,2021,2022,0.02,0.02,0.03,0.04,0.05,0.1,0.03,0.03
Harmony_Schools_South_Grade 4 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 4 Mathematics,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.03,0.03,0.06,-0.14,0.03,0.02
Harmony_Schools_South_Grade 4 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 4 Reading,At Approaches Grade Level or Above,2021,2022,0.14,0.14,0.2,0.16,0.25,0.43,0.23,0.18
Harmony_Schools_South_Grade 4 Reading_At Masters Grade Level_2022,Harmony_Schools_South,Grade 4 Reading,At Masters Grade Level,2021,2022,0.11,0.12,0.12,0.01,0.18,0.23,0.1,0.12
Harmony_Schools_South_Grade 4 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 4 Reading,At Meets Grade Level or Above,2021,2022,0.18,0.18,0.19,0.08,0.26,0.34,0.2,0.23
Harmony_Schools_South_Grade 5 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,2022,0.07,0.06,0.12,0.12,0.11,0.3,0.13,0.14
Harmony_Schools_South_Grade 5 Mathematics_At Masters Grade Level_2022,Harmony_Schools_South,Grade 5 Mathematics,At Masters Grade Level,2021,2022,0.001,0.001,0.1,0.12,0.02,0.47,0.09,0.1
Harmony_Schools_South_Grade 5 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.04,0.12,0.2,0.03,0.51,0.14,0.16
Harmony_Schools_South_Grade 5 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.08,0.14,0.11,0.16,0.2,0.15,0.18
Harmony_Schools_South_Grade 5 Reading_At Masters Grade Level_2022,Harmony_Schools_South,Grade 5 Reading,At Masters Grade Level,2021,2022,0.06,0.07,0.16,0.18,0.12,0.47,0.13,0.16
Harmony_Schools_South_Grade 5 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.11,0.23,0.2,0.17,0.9,0.22,0.27
Harmony_Schools_South_Grade 5 Science_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Science,At Approaches Grade Level or Above,2021,2022,0.04,0.04,0.17,0.17,0.16,0.6,0.18,0.24
Harmony_Schools_South_Grade 5 Science_At Masters Grade Level_2022,Harmony_Schools_South,Grade 5 Science,At Masters Grade Level,2021,2022,0.05,0.05,0.08,0.16,0.03,0.29,0.09,0.04
Harmony_Schools_South_Grade 5 Science_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 5 Science,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.24,0.27,0.2,0.71,0.24,0.23
Harmony_Schools_South_Grade 6 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,2022,0.05,0.05,0.15,0.16,0.16,0.31,0.18,0.14
Harmony_Schools_South_Grade 6 Mathematics_At Masters Grade Level_2022,Harmony_Schools_South,Grade 6 Mathematics,At Masters Grade Level,2021,2022,0.01,0.01,0.12,0.13,0.12,0.11,0.12,0.13
Harmony_Schools_South_Grade 6 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 6 Mathematics,At Meets Grade Level or Above,2021,2022,0.03,0.03,0.16,0.2,0.15,0.25,0.19,0.14
Harmony_Schools_South_Grade 6 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 6 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.06,0.11,0.09,0.13,0.08,0.13,0.12
Harmony_Schools_South_Grade 6 Reading_At Masters Grade Level_2022,Harmony_Schools_South,Grade 6 Reading,At Masters Grade Level,2021,2022,0.08,0.08,0.12,0.1,0.13,0.26,0.13,0.14
Harmony_Schools_South_Grade 6 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 6 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.1,0.16,0.15,0.16,0.11,0.18,0.2
Harmony_Schools_South_Grade 7 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,2022,0.06,0.06,0.1,0.001,0.14,0.07,0.1,0.13
Harmony_Schools_South_Grade 7 Mathematics_At Masters Grade Level_2022,Harmony_Schools_South,Grade 7 Mathematics,At Masters Grade Level,2021,2022,0.01,0.02,0.1,0.1,0.09,-0.18,0.09,0.07
Harmony_Schools_South_Grade 7 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 7 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.05,0.1,0.001,0.11,0.22,0.08,0.12
Harmony_Schools_South_Grade 7 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_South,Grade 7 Reading,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.14,0.01,0.22,0.02,0.16,0.2
Harmony_Schools_South_Grade 7 Reading_At Masters Grade Level_2022,Harmony_Schools_South,Grade 7 Reading,At Masters Grade Level,2021,2022,0.12,0.12,0.21,0.05,0.24,0.32,0.21,0.25
Harmony_Schools_South_Grade 7 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_South,Grade 7 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.11,0.18,-0.05,0.25,0.37,0.19,0.27
Harmony_Schools_West_Grade 3 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 3 Mathematics,At Approaches Grade Level or Above,2021,2022,0.09,0.09,0.16,0.26,0.12,0.34,0.21,0.17
Harmony_Schools_West_Grade 3 Mathematics_At Masters Grade Level_2022,Harmony_Schools_West,Grade 3 Mathematics,At Masters Grade Level,2021,2022,0.07,0.07,0.15,0.18,0.15,0.13,0.2,0.15
Harmony_Schools_West_Grade 3 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 3 Mathematics,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.21,0.26,0.23,0.26,0.25,0.22
Harmony_Schools_West_Grade 3 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 3 Reading,At Approaches Grade Level or Above,2021,2022,0.09,0.08,0.08,0.17,0.16,0.05,0.15,0.11
Harmony_Schools_West_Grade 3 Reading_At Masters Grade Level_2022,Harmony_Schools_West,Grade 3 Reading,At Masters Grade Level,2021,2022,0.11,0.11,0.17,0.2,0.11,0.19,0.16,0.13
Harmony_Schools_West_Grade 3 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 3 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.13,0.17,0.22,0.22,0.21,0.22,0.22
Harmony_Schools_West_Grade 4 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 4 Mathematics,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.18,0.17,0.28,0.19,0.2,0.14
Harmony_Schools_West_Grade 4 Mathematics_At Masters Grade Level_2022,Harmony_Schools_West,Grade 4 Mathematics,At Masters Grade Level,2021,2022,0.02,0.02,0.1,0.03,0.06,0.11,0.03,0.04
Harmony_Schools_West_Grade 4 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 4 Mathematics,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.16,0.13,0.1,0.12,0.12,0.12
Harmony_Schools_West_Grade 4 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 4 Reading,At Approaches Grade Level or Above,2021,2022,0.14,0.14,0.14,0.11,0.28,0.17,0.14,0.14
Harmony_Schools_West_Grade 4 Reading_At Masters Grade Level_2022,Harmony_Schools_West,Grade 4 Reading,At Masters Grade Level,2021,2022,0.11,0.12,0.22,0.23,0.1,0.18,0.26,0.17
Harmony_Schools_West_Grade 4 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 4 Reading,At Meets Grade Level or Above,2021,2022,0.18,0.18,0.29,0.25,0.29,0.37,0.31,0.31
Harmony_Schools_West_Grade 5 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Mathematics,At Approaches Grade Level or Above,2021,2022,0.07,0.06,0.14,0.26,0.13,-0.03,0.15,0.08
Harmony_Schools_West_Grade 5 Mathematics_At Masters Grade Level_2022,Harmony_Schools_West,Grade 5 Mathematics,At Masters Grade Level,2021,2022,0.001,0.001,0.14,0.21,0.1,-0.22,0.21,0.18
Harmony_Schools_West_Grade 5 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.04,0.21,0.35,0.14,-0.14,0.29,0.17
Harmony_Schools_West_Grade 5 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.08,0.11,0.17,0.04,-0.07,0.14,0.1
Harmony_Schools_West_Grade 5 Reading_At Masters Grade Level_2022,Harmony_Schools_West,Grade 5 Reading,At Masters Grade Level,2021,2022,0.06,0.07,0.17,0.24,0.13,-0.14,0.27,0.22
Harmony_Schools_West_Grade 5 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Reading,At Meets Grade Level or Above,2021,2022,0.12,0.11,0.21,0.29,0.13,-0.11,0.29,0.27
Harmony_Schools_West_Grade 5 Science_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Science,At Approaches Grade Level or Above,2021,2022,0.04,0.04,0.11,0.23,0.06,-0.06,0.16,0.07
Harmony_Schools_West_Grade 5 Science_At Masters Grade Level_2022,Harmony_Schools_West,Grade 5 Science,At Masters Grade Level,2021,2022,0.05,0.05,0.11,0.14,0.1,0.05,0.13,0.15
Harmony_Schools_West_Grade 5 Science_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 5 Science,At Meets Grade Level or Above,2021,2022,0.07,0.07,0.15,0.29,0.1,-0.16,0.24,0.17
Harmony_Schools_West_Grade 6 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 6 Mathematics,At Approaches Grade Level or Above,2021,2022,0.05,0.05,0.07,0.09,0.03,0.15,0.07,0.03
Harmony_Schools_West_Grade 6 Mathematics_At Masters Grade Level_2022,Harmony_Schools_West,Grade 6 Mathematics,At Masters Grade Level,2021,2022,0.01,0.01,0.09,0.12,-0.02,0.39,0.07,0.08
Harmony_Schools_West_Grade 6 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 6 Mathematics,At Meets Grade Level or Above,2021,2022,0.03,0.03,0.14,0.23,0.04,0.28,0.14,0.12
Harmony_Schools_West_Grade 6 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 6 Reading,At Approaches Grade Level or Above,2021,2022,0.08,0.06,0.11,0.17,0.11,0.27,0.11,0.09
Harmony_Schools_West_Grade 6 Reading_At Masters Grade Level_2022,Harmony_Schools_West,Grade 6 Reading,At Masters Grade Level,2021,2022,0.08,0.08,0.15,0.2,0.01,0.33,0.09,0.05
Harmony_Schools_West_Grade 6 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 6 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.1,0.12,0.17,0.02,0.34,0.06,-0.02
Harmony_Schools_West_Grade 7 Mathematics_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 7 Mathematics,At Approaches Grade Level or Above,2021,2022,0.06,0.06,0.13,0.13,0.19,0.06,0.15,0.16
Harmony_Schools_West_Grade 7 Mathematics_At Masters Grade Level_2022,Harmony_Schools_West,Grade 7 Mathematics,At Masters Grade Level,2021,2022,0.01,0.02,0.13,0.04,0.09,0.27,0.16,0.04
Harmony_Schools_West_Grade 7 Mathematics_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 7 Mathematics,At Meets Grade Level or Above,2021,2022,0.04,0.05,0.11,0.09,0.03,0.3,0.13,0.06
Harmony_Schools_West_Grade 7 Reading_At Approaches Grade Level or Above_2022,Harmony_Schools_West,Grade 7 Reading,At Approaches Grade Level or Above,2021,2022,0.11,0.1,0.11,0.14,0.17,0.08,0.11,0.1
Harmony_Schools_West_Grade 7 Reading_At Masters Grade Level_2022,Harmony_Schools_West,Grade 7 Reading,At Masters Grade Level,2021,2022,0.12,0.12,0.19,0.17,0.14,0.21,0.21,0.21
Harmony_Schools_West_Grade 7 Reading_At Meets Grade Level or Above_2022,Harmony_Schools_West,Grade 7 Reading,At Meets Grade Level or Above,2021,2022,0.11,0.11,0.17,0.2,0.17,0.03,0.22,0.17
